,,,,,,,United States Senator - DEM (Vote For=1),United States Senator - DEM (Vote For=1),Representative to the 120th United States Congress - District 2 - DEM (Vote For=1),Governor - DEM (Vote For=1),Governor - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),State Treasurer - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),State Senator - District 15 - DEM (Vote For=1),State Senator - District 17 - DEM (Vote For=1),State Representative - District 10 - DEM (Vote For=1),State Representative - District 11 - DEM (Vote For=1),State Representative - District 12 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 49 - DEM (Vote For=1),Boulder County Commissioner - District 3 - DEM (Vote For=1),Boulder County Clerk and Recorder - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Assessor - DEM (Vote For=1),Boulder County Sheriff - DEM (Vote For=1),Boulder County Surveyor - DEM (Vote For=1),Boulder County Coroner - DEM (Vote For=1),Secretary of State - LBR (Vote For=1),Secretary of State - LBR (Vote For=1),United States Senator - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Secretary of State - REP (Vote For=1),State Treasurer - REP (Vote For=1),Attorney General - REP (Vote For=1),Attorney General - REP (Vote For=1),Regent of the University of Colorado - Congressional District 2 - REP (Vote For=1),State Senator - District 15 - REP (Vote For=1),State Senator - District 17 - REP (Vote For=1),State Representative - District 12 - REP (Vote For=1),State Representative - District 19 - REP (Vote For=1),State Representative - District 49 - REP (Vote For=1),Governor - UNI (Vote For=1),Governor - UNI (Vote For=1)
,,,,,,,Julie Gonzales,John Hickenlooper,Joe Neguse,Phil Weiser,Michael Bennet,Amanda Gonzalez,Jessie Danielson,Jeff Bridges,Jena Griswold,David Seligman,Michael Dougherty,Hetal Doshi,Kubs Lalchandani,Edie Hooton,Murray Smith,Janice Marchman,Katie Wallace,Junie Joseph,Karen McCormick,Kyle Brown,Anil Pesaramelli,Jillaire McMillan,Colton Jonjak Plahn,Lesley Smith,Ashley Stolzmann,Molly Fitzpatrick,Jenn Kaaoush,Rachel Friend,Cynthia Braddock,Curtis Johnson,Kayce D. W. Keane,Jeff Martin,Sean Vadney,Alex Astley,Mark Baisley,Kelley Anne Dennison,Christina Blunt (Ducommun),Scott Bottoms,Victor Marx,Barb Kirkmeyer,Write-In,"Kelvin ""K-Man"" Wimberly",James Wiley,Kevin Grantham,Michael J. Allen,David Willson,Marty Neilson,Rob Woodward,Pat Miller,Ryan Rhatigan,Dan Woog,Michael Sheperek,Paul NoÃ«l Fiorino,Jeff Peckman
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,CountingGroup,BallotType,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,LBR,LBR,REP,REP,REP,REP,REP,REP,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,UNI,UNI
81920,109,100,18,109-100-18,Regular,10,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81921,109,100,73,109-100-73,Regular,10,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81922,109,100,72,109-100-72,Regular,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81923,109,100,44,109-100-44,Regular,07,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,0,,,,,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81924,109,100,25,109-100-25,Regular,13,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,,1,,,,1,0,0,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81926,109,100,94,109-100-94,Regular,07,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81927,109,100,62,109-100-62,Regular,10,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81928,109,100,61,109-100-61,Regular,10,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,,,0,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81929,109,100,42,109-100-42,Regular,10,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81930,109,100,26,109-100-26,Regular,10,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,,1,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81931,109,100,16,109-100-16,Regular,10,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81932,109,100,77,109-100-77,Regular,10,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81933,109,100,76,109-100-76,Regular,10,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,,1,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81934,109,100,47,109-100-47,Regular,10,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81935,109,100,27,109-100-27,Regular,13,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,,1,,,,1,0,0,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81937,109,100,79,109-100-79,Regular,10,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81938,109,100,78,109-100-78,Regular,10,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,,0,,,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81939,109,100,49,109-100-49,Regular,13,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,0,,,,0,1,0,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81940,109,100,28,109-100-28,Regular,13,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,,0,,,,0,1,0,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81941,109,100,15,109-100-15,Regular,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,,0,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81942,109,100,70,109-100-70,Regular,07,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81943,109,100,69,109-100-69,Regular,07,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81944,109,100,45,109-100-45,Regular,07,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,,,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81945,109,100,29,109-100-29,Regular,10,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81946,109,100,17,109-100-17,Regular,10,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,,0,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81947,109,100,100,109-100-100,Regular,10,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81948,109,100,99,109-100-99,Regular,13,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,1,,,,0,1,0,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81949,109,100,68,109-100-68,Regular,07,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0,,,,,1,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81950,109,100,67,109-100-67,Regular,10,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,,1,,,1,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81951,109,100,46,109-100-46,Regular,10,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,,1,,,1,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81953,109,100,81,109-100-81,Regular,10,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,,0,,,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81954,109,100,80,109-100-80,Regular,10,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,,1,,,1,,,,,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81955,109,100,50,109-100-50,Regular,10,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81956,109,100,31,109-100-31,Regular,10,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81958,109,100,88,109-100-88,Regular,10,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81959,109,100,87,109-100-87,Regular,10,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,,0,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81960,109,100,71,109-100-71,Regular,07,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81961,109,100,32,109-100-32,Regular,10,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,0,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81962,109,100,1,109-100-1,Regular,10,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,,0,,,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81963,109,100,75,109-100-75,Regular,13,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,,0,,,,0,1,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81964,109,100,74,109-100-74,Regular,10,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,1,,,1,,,,,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81965,109,100,48,109-100-48,Regular,13,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,,1,,,,1,0,0,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81966,109,100,33,109-100-33,Regular,13,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,,0,,,,1,0,0,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81968,109,100,85,109-100-85,Regular,10,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81969,109,100,84,109-100-84,Regular,10,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81970,109,100,56,109-100-56,Regular,10,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81971,109,100,34,109-100-34,Regular,10,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,,1,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81973,109,100,83,109-100-83,Regular,10,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81974,109,100,55,109-100-55,Regular,10,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,0,,,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81975,109,100,35,109-100-35,Regular,10,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,,0,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81977,109,100,86,109-100-86,Regular,10,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,,0,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81978,109,100,36,109-100-36,Regular,10,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,,0,,,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81979,109,100,2,109-100-2,Regular,10,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,0,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81980,109,100,82,109-100-82,Regular,10,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,,1,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81981,109,100,89,109-100-89,Regular,10,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81982,109,100,93,109-100-93,Regular,13,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,,1,,,,0,1,0,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81983,109,100,30,109-100-30,Regular,13,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,,0,,,,0,0,0,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81984,109,101,126,109-101-126,Regular,19,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81985,109,101,125,109-101-125,Regular,19,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81987,109,101,54,109-101-54,Regular,16,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81988,109,101,53,109-101-53,Regular,19,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81989,109,101,37,109-101-37,Regular,01,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81990,109,101,19,109-101-19,Regular,01,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81992,109,101,124,109-101-124,Regular,16,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81993,109,101,123,109-101-123,Regular,19,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81994,109,101,94,109-101-94,Regular,19,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81995,109,101,93,109-101-93,Regular,16,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81996,109,101,49,109-101-49,Regular,01,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81997,109,101,48,109-101-48,Regular,01,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,,0,,0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81998,109,101,36,109-101-36,Regular,01,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81999,109,101,20,109-101-20,Regular,01,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,,0,,0,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82000,109,101,13,109-101-13,Regular,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,1,,,,1,,
82001,109,101,130,109-101-130,Regular,19,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82002,109,101,96,109-101-96,Regular,16,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82004,109,101,56,109-101-56,Regular,01,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82005,109,101,38,109-101-38,Regular,19,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82009,109,101,62,109-101-62,Regular,19,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82010,109,101,61,109-101-61,Regular,01,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,1,,1,,,,,,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82011,109,101,39,109-101-39,Regular,19,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82012,109,101,22,109-101-22,Regular,16,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82013,109,101,8,109-101-8,Regular,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,0,1,1,1,,,,1,,
82014,109,101,106,109-101-106,Regular,19,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82016,109,101,74,109-101-74,Regular,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,1,1,1,,,,1,,
82017,109,101,73,109-101-73,Regular,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,1,,,,1,,
82018,109,101,46,109-101-46,Regular,01,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82019,109,101,23,109-101-23,Regular,19,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82021,109,101,134,109-101-134,Regular,19,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82022,109,101,133,109-101-133,Regular,16,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82023,109,101,100,109-101-100,Regular,19,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82024,109,101,99,109-101-99,Regular,19,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,,,,,,,,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82025,109,101,60,109-101-60,Regular,01,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82026,109,101,59,109-101-59,Regular,01,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,,0,,0,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82027,109,101,40,109-101-40,Regular,16,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82028,109,101,24,109-101-24,Regular,19,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82029,109,101,16,109-101-16,Regular,01,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82030,109,101,116,109-101-116,Regular,19,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82031,109,101,115,109-101-115,Regular,19,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82032,109,101,68,109-101-68,Regular,01,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,,1,,1,,,,,,1,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,
82034,109,101,42,109-101-42,Regular,01,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82035,109,101,25,109-101-25,Regular,19,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82037,109,101,132,109-101-132,Regular,19,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82038,109,101,131,109-101-131,Regular,19,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82039,109,101,98,109-101-98,Regular,16,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82040,109,101,97,109-101-97,Regular,16,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82041,109,101,70,109-101-70,Regular,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,0,1,1,,,,1,,
82042,109,101,69,109-101-69,Regular,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,1,0,1,1,,,,1,,
82043,109,101,44,109-101-44,Regular,19,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82044,109,101,26,109-101-26,Regular,16,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82046,109,101,108,109-101-108,Regular,19,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,,,,,,,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82047,109,101,107,109-101-107,Regular,16,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82048,109,101,64,109-101-64,Regular,19,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82049,109,101,63,109-101-63,Regular,16,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82053,109,101,120,109-101-120,Regular,19,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82054,109,101,119,109-101-119,Regular,19,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82056,109,101,65,109-101-65,Regular,19,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82059,109,101,17,109-101-17,Regular,01,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82060,109,101,118,109-101-118,Regular,19,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82061,109,101,117,109-101-117,Regular,19,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82062,109,101,84,109-101-84,Regular,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,,,,0,,
82065,109,101,29,109-101-29,Regular,01,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
82066,109,101,1,109-101-1,Regular,01,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82067,109,101,128,109-101-128,Regular,19,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
