parameters, N, reportedMean, reportedMeanDiff, nsuccess, ntrials, totalSamples, stddev, percentHist
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.56, -0.02, 10000, 10000, 2426976, 207.4139285444444 , "10000 [1:9947 2:53 ]"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.56, -0.03, 10000, 10000, 5969272, 450.18442543046757 , "10000 [1:7350 2:2618 3:32 ]"
"p2oracle=0.005 p2prior=0.001 d2=100.0 ", 10000, 0.58, -0.005, 10000, 10000, 501003, 31.293431258172998 , "10000 [1:10000 ]"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.58, -0.0075, 10000, 10000, 583285, 42.14313215400587 , "10000 [1:10000 ]"
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.58, -0.001, 10000, 10000, 392964, 12.114518027556885 , "10000 [1:10000 ]"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.58, -0.002, 10000, 10000, 419112, 18.081806175269126 , "10000 [1:10000 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.56, -0.04, 10000, 10000, 16004362, 983.9721008898368 , "10000 [1:2573 2:3245 3:3282 4:859 5:41 ]"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.58, -0.01, 10000, 10000, 674651, 52.49277647438739 , "10000 [1:10000 ]"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.58, -0.03, 10000, 10000, 2387473, 204.9253518789466 , "10000 [1:9964 2:36 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.56, -0.05, 10000, 10000, 48914750, 1915.4786732237455 , "10000 [1:902 2:124 3:292 4:711 5:1646 6:2880 7:2779 8:662 9:4 ]"
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.58, -0.02, 10000, 10000, 1239744, 108.52527698485727 , "10000 [1:10000 ]"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.6, -0.002, 10000, 10000, 328304, 12.241047170891875 , "10000 [1:10000 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.58, -0.04, 10000, 10000, 4863930, 377.10127200925825 , "10000 [1:8489 2:1508 3:3 ]"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.6, -0.0075, 10000, 10000, 430867, 28.735350756689872 , "10000 [1:10000 ]"
"p2oracle=0.005 p2prior=0.001 d2=100.0 ", 10000, 0.6, -0.005, 10000, 10000, 383093, 21.821613907087624 , "10000 [1:10000 ]"
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.6, -0.001, 10000, 10000, 315336, 8.784171619452827 , "10000 [1:10000 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.58, -0.05, 10000, 10000, 10345540, 688.988460341681 , "10000 [1:4148 2:4742 3:1094 4:16 ]"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.6, -0.01, 10000, 10000, 491328, 36.50312814211962 , "10000 [1:10000 ]"
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.6, -0.02, 10000, 10000, 794513, 69.16239894848937 , "10000 [1:10000 ]"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.6, -0.03, 10000, 10000, 1360406, 119.43304212670817 , "10000 [1:10000 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.6, -0.04, 10000, 10000, 2313751, 198.51632023586885 , "10000 [1:9979 2:21 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.6, -0.05, 10000, 10000, 4227810, 327.3023184137259 , "10000 [1:9151 2:848 3:1 ]"
