parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.06, StatRejectNull, 1.0, 1717.32, 1718.3200000000002, 0.0, 0.0, 1022.5438169584716, 0.05905799999999997
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.08, StatRejectNull, 1.0, 920.79, 921.79, 0.0, 0.0, 609.2210648853173, 0.07893200000000002
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.004, SampleSumRejectNull, 1.0, 9315.74, 9316.629999999997, 300.0, 3.0, 1666.283859208258, 0.003692999999999994
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.012, StatRejectNull, 1.0, 7571.34, 7572.340000000002, 0.0, 0.0, 2260.234307411512, 0.011639000000000002
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.003, StatRejectNull, 1.0, 9447.84, 9448.710000000005, 700.0000000000001, 7.000000000000001, 1334.651441343736, 0.0033719999999999905
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.005, StatRejectNull, 1.0, 9186.92, 9187.869999999997, 100.0, 1.0, 1629.8287076136612, 0.004860000000000004
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.001, StatRejectNull, 1.0, 9630.54, 9631.050000000001, 3200.0, 32.0, 1841.4631196589341, 0.0010569999999999935
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.03, StatRejectNull, 1.0, 3976.69, 3977.69, 0.0, 0.0, 2123.7501298175353, 0.029061000000000003
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.016, StatRejectNull, 1.0, 6845.44, 6846.439999999999, 0.0, 0.0, 2241.8732003393943, 0.015917999999999995
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.006, StatRejectNull, 1.0, 8883.73, 8884.73, 0.0, 0.0, 2242.6032545013395, 0.005608000000000002
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.02, StatRejectNull, 1.0, 6326.74, 6327.740000000003, 0.0, 0.0, 2158.117052525187, 0.019414000000000004
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.05, StatRejectNull, 1.0, 2404.85, 2405.849999999999, 0.0, 0.0, 1309.379542951546, 0.04839200000000002
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.001, StatRejectNull, 1.0, 9532.7, 9533.240000000002, 3200.0, 32.0, 1821.1825201297913, 0.001258999999999989
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.012, StatRejectNull, 1.0, 8252.57, 8253.57, 0.0, 0.0, 1630.160055055945, 0.011032
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.07, StatRejectNull, 1.0, 1328.83, 1329.8300000000004, 0.0, 0.0, 891.8492255420756, 0.06754500000000002
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.04, StatRejectNull, 1.0, 3015.37, 3016.3700000000017, 0.0, 0.0, 1736.216942982645, 0.03869999999999998
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.008, StatRejectNull, 1.0, 8948.47, 8949.47, 0.0, 0.0, 1292.0675404559934, 0.007447999999999999
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.06, StatRejectNull, 1.0, 1755.7, 1756.6999999999994, 0.0, 0.0, 988.7728910118844, 0.05797400000000001
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.002, StatRejectNull, 1.0, 9525.02, 9525.66, 2600.0, 26.0, 1786.9101899723519, 0.001981999999999995
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.08, StatRejectNull, 1.0, 1075.55, 1076.5499999999997, 0.0, 0.0, 724.0230987337352, 0.077373
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.01, StatRejectNull, 1.0, 7934.31, 7935.310000000001, 0.0, 0.0, 2547.344761491856, 0.009331
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.1, StatRejectNull, 1.0, 685.83, 686.8299999999998, 0.0, 0.0, 429.94429999710434, 0.096987
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.008, StatRejectNull, 1.0, 8998.68, 8999.659999999998, 100.0, 1.0, 1601.788736383325, 0.006783000000000012
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.003, SampleSumRejectNull, 1.0, 9210.02, 9210.7, 2300.0, 23.0, 2221.571167063728, 0.002719999999999996
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.005, StatRejectNull, 1.0, 9462.140000000001, 9463.009999999997, 800.0, 8.0, 1174.467316158671, 0.004676000000000001
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.02, StatRejectNull, 1.0, 5824.75, 5825.749999999996, 0.0, 0.0, 2611.921860910085, 0.018522999999999984
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.004, StatRejectNull, 1.0, 9493.07, 9493.85, 1500.0, 15.0, 843.1771370412422, 0.003669999999999993
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.006, StatRejectNull, 1.0, 9045.96, 9046.870000000003, 600.0, 6.0, 1765.075168383848, 0.005805000000000004
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.016, StatRejectNull, 1.0, 7062.44, 7063.440000000002, 0.0, 0.0, 2290.5625742162124, 0.014204000000000003
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.03, StatRejectNull, 1.0, 4652.0, 4653.0, 0.0, 0.0, 2048.5838474419347, 0.02795099999999999
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.04, StatRejectNull, 1.0, 3011.1, 3012.1000000000004, 0.0, 0.0, 1882.2887849636675, 0.03706200000000001
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 10000, 0.07, StatRejectNull, 1.0, 1473.32, 1474.3200000000002, 0.0, 0.0, 865.1898737271489, 0.06463199999999998
